task_name,period_ms,cycle_num,scheduled_ns,actual_ns,exec_end_ns
DistanceCalc,20,962,2811872335697,2811872345346,2811872345506
DistanceCalc,20,963,2811892335697,2811892346486,2811892346657
NavCommand,80,241,2811912293075,2811912304190,2811912305439
DistanceCalc,20,964,2811912335697,2811912342620,2811912342831
NavControl,80,241,2811913195935,2811913204500,2811913205035
SurfaceRecon,100,193,2811932283239,2811932295665,2811932301963
DistanceCalc,20,965,2811932335697,2811932342844,2811932343105
DataIMU,0,187,2811932311091,2811932311091,2811932401482
DistanceCalc,20,966,2811952335697,2811952345187,2811952345334
DistanceCalc,20,967,2811972335697,2811972346876,2811972347068
NavCommand,80,242,2811992293075,2811992303746,2811992304891
DistanceCalc,20,968,2811992335697,2811992346968,2811992347189
NavControl,80,242,2811993195935,2811993205590,2811993206143
DistanceCalc,20,969,2812012335697,2812012344406,2812012344589
SurfaceRecon,100,194,2812032283239,2812032296314,2812032304441
DistanceCalc,20,970,2812032335697,2812032343199,2812032343376
DataIMU,0,188,2812032312484,2812032312484,2812032400924
DistanceCalc,20,971,2812052335697,2812052344206,2812052344391
NavCommand,80,243,2812072293075,2812072305280,2812072306238
DistanceCalc,20,972,2812072335697,2812072345507,2812072345739
NavControl,80,243,2812073195935,2812073206096,2812073207068
DistanceCalc,20,973,2812092335697,2812092345927,2812092346097
DistanceCalc,20,974,2812112335697,2812112344868,2812112345085
SurfaceRecon,100,195,2812132283239,2812132294374,2812132302042
DistanceCalc,20,975,2812132335697,2812132343126,2812132343292
DataIMU,0,189,2812132311319,2812132311319,2812132399196
NavCommand,80,244,2812152293075,2812152301896,2812152303112
DistanceCalc,20,976,2812152335697,2812152344019,2812152344231
NavControl,80,244,2812153195935,2812153204802,2812153205409
DistanceCalc,20,977,2812172335697,2812172346216,2812172346373
DistanceCalc,20,978,2812192335697,2812192345979,2812192346152
DistanceCalc,20,979,2812212335697,2812212343869,2812212344113
SurfaceRecon,100,196,2812232283239,2812232294377,2812232300885
NavCommand,80,245,2812232293075,2812232301076,2812232301981
DistanceCalc,20,980,2812232335697,2812232342748,2812232342923
DataIMU,0,190,2812232309407,2812232309407,2812232395308
NavControl,80,245,2812233195935,2812233204176,2812233204851
DistanceCalc,20,981,2812252335697,2812252344212,2812252344362
DistanceCalc,20,982,2812272335697,2812272345618,2812272345777
DistanceCalc,20,983,2812292335697,2812292346652,2812292346807
NavCommand,80,246,2812312293075,2812312302587,2812312303746
DistanceCalc,20,984,2812312335697,2812312343510,2812312343651
NavControl,80,246,2812313195935,2812313205927,2812313206515
SurfaceRecon,100,197,2812332283239,2812332294664,2812332302563
DistanceCalc,20,985,2812332335697,2812332343957,2812332344185
DataIMU,0,191,2812332312989,2812332312989,2812332404183
DistanceCalc,20,986,2812352335697,2812352345220,2812352345409
DistanceCalc,20,987,2812372335697,2812372345929,2812372346085
NavCommand,80,247,2812392293075,2812392302042,2812392303151
DistanceCalc,20,988,2812392335697,2812392344859,2812392345123
NavControl,80,247,2812393195935,2812393206981,2812393207593
DistanceCalc,20,989,2812412335697,2812412343885,2812412344303
SurfaceRecon,100,198,2812432283239,2812432293275,2812432299985
DistanceCalc,20,990,2812432335697,2812432343007,2812432343234
DataIMU,0,192,2812432308137,2812432308137,2812432392297
DistanceCalc,20,991,2812452335697,2812452341461,2812452341634
NavCommand,80,248,2812472293075,2812472303758,2812472304825
DistanceCalc,20,992,2812472335697,2812472343050,2812472343266
NavControl,80,248,2812473195935,2812473205051,2812473205634
DistanceCalc,20,993,2812492335697,2812492345669,2812492345999
DistanceCalc,20,994,2812512335697,2812512345185,2812512345277
SurfaceRecon,100,199,2812532283239,2812532296380,2812532302503
DistanceCalc,20,995,2812532335697,2812532343435,2812532343666
DataIMU,0,193,2812532310602,2812532310602,2812532398296
NavCommand,80,249,2812552293075,2812552302884,2812552303806
DistanceCalc,20,996,2812552335697,2812552343672,2812552343909
NavControl,80,249,2812553195935,2812553205162,2812553205795
DistanceCalc,20,997,2812572335697,2812572345308,2812572345469
DistanceCalc,20,998,2812592335697,2812592344339,2812592344509
DistanceCalc,20,999,2812612335697,2812612343745,2812612343892
SurfaceRecon,100,200,2812632283239,2812632294740,2812632301153
NavCommand,80,250,2812632293075,2812632300731,2812632301796
DistanceCalc,20,1000,2812632335697,2812632344317,2812632344580
DataIMU,0,194,2812632309938,2812632309938,2812632400183
NavControl,80,250,2812633195935,2812633204462,2812633204866
DistanceCalc,20,1001,2812652335697,2812652343951,2812652344095
DistanceCalc,20,1002,2812672335697,2812672344021,2812672344257
DistanceCalc,20,1003,2812692335697,2812692345009,2812692345163
NavCommand,80,251,2812712293075,2812712302066,2812712303360
DistanceCalc,20,1004,2812712335697,2812712345187,2812712345447
NavControl,80,251,2812713195935,2812713204759,2812713205473
SurfaceRecon,100,201,2812732283239,2812732298941,2812732306999
DistanceCalc,20,1005,2812732335697,2812732345177,2812732345400
DataIMU,0,195,2812732315668,2812732315668,2812732413321
DistanceCalc,20,1006,2812752335697,2812752342988,2812752343296
DistanceCalc,20,1007,2812772335697,2812772343959,2812772344126
NavCommand,80,252,2812792293075,2812792304101,2812792305394
DistanceCalc,20,1008,2812792335697,2812792344259,2812792344469
NavControl,80,252,2812793195935,2812793204697,2812793205374
DistanceCalc,20,1009,2812812335697,2812812346550,2812812346837
SurfaceRecon,100,202,2812832283239,2812832296453,2812832304218
DistanceCalc,20,1010,2812832335697,2812832346149,2812832346408
DataIMU,0,196,2812832312923,2812832312923,2812832400552
DistanceCalc,20,1011,2812852335697,2812852349738,2812852349993
NavCommand,80,253,2812872293075,2812872302934,2812872303967
DistanceCalc,20,1012,2812872335697,2812872344105,2812872344316
NavControl,80,253,2812873195935,2812873205577,2812873206527
DistanceCalc,20,1013,2812892335697,2812892345247,2812892345462
DistanceCalc,20,1014,2812912335697,2812912344139,2812912344379
SurfaceRecon,100,203,2812932283239,2812932295465,2812932302189
DistanceCalc,20,1015,2812932335697,2812932344138,2812932344366
DataIMU,0,197,2812932312680,2812932312680,2812932400361
NavCommand,80,254,2812952293075,2812952302840,2812952303840
DistanceCalc,20,1016,2812952335697,2812952345077,2812952345303
NavControl,80,254,2812953195935,2812953204839,2812953205433
DistanceCalc,20,1017,2812972335697,2812972344756,2812972344975
DistanceCalc,20,1018,2812992335697,2812992345697,2812992345839
DistanceCalc,20,1019,2813012335697,2813012344275,2813012344455
SurfaceRecon,100,204,2813032283239,2813032296184,2813032302550
NavCommand,80,255,2813032293075,2813032300407,2813032302942
DistanceCalc,20,1020,2813032335697,2813032343302,2813032343579
DataIMU,0,198,2813032311650,2813032311650,2813032403783
NavControl,80,255,2813033195935,2813033204391,2813033205179
DistanceCalc,20,1021,2813052335697,2813052343343,2813052343565
DistanceCalc,20,1022,2813072335697,2813072343275,2813072343488
DistanceCalc,20,1023,2813092335697,2813092345201,2813092345387
NavCommand,80,256,2813112293075,2813112301053,2813112302557
DistanceCalc,20,1024,2813112335697,2813112342746,2813112343001
NavControl,80,256,2813113195935,2813113203953,2813113204734
SurfaceRecon,100,205,2813132283239,2813132295580,2813132302313
DistanceCalc,20,1025,2813132335697,2813132344600,2813132344832
DataIMU,0,199,2813132310878,2813132310878,2813132396106
DistanceCalc,20,1026,2813152335697,2813152342661,2813152342835
DistanceCalc,20,1027,2813172335697,2813172343970,2813172344181
NavCommand,80,257,2813192293075,2813192302892,2813192304097
DistanceCalc,20,1028,2813192335697,2813192342795,2813192343005
NavControl,80,257,2813193195935,2813193207724,2813193208510
DistanceCalc,20,1029,2813212335697,2813212342481,2813212342646
SurfaceRecon,100,206,2813232283239,2813232296344,2813232303015
DistanceCalc,20,1030,2813232335697,2813232342762,2813232343002
DataIMU,0,200,2813232312220,2813232312220,2813232403331
DistanceCalc,20,1031,2813252335697,2813252343797,2813252344128
NavCommand,80,258,2813272293075,2813272302776,2813272303964
DistanceCalc,20,1032,2813272335697,2813272342079,2813272342374
NavControl,80,258,2813273195935,2813273205634,2813273206405
DistanceCalc,20,1033,2813292335697,2813292342807,2813292343039
DistanceCalc,20,1034,2813312335697,2813312343454,2813312343596
SurfaceRecon,100,207,2813332283239,2813332298403,2813332305039
DistanceCalc,20,1035,2813332335697,2813332343285,2813332343530
DataIMU,0,201,2813332314035,2813332314035,2813332402588
NavCommand,80,259,2813352293075,2813352302328,2813352303342
DistanceCalc,20,1036,2813352335697,2813352342120,2813352342373
NavControl,80,259,2813353195935,2813353206778,2813353207359
DistanceCalc,20,1037,2813372335697,2813372341656,2813372341803
DistanceCalc,20,1038,2813392335697,2813392345459,2813392345627
DistanceCalc,20,1039,2813412335697,2813412344396,2813412344557
NavCommand,80,260,2813432293075,2813432300672,2813432301758
SurfaceRecon,100,208,2813432283239,2813432297180,2813432305359
DistanceCalc,20,1040,2813432335697,2813432342279,2813432342497
DataIMU,0,202,2813432314762,2813432314762,2813432408163
NavControl,80,260,2813433195935,2813433204808,2813433205308
DistanceCalc,20,1041,2813452335697,2813452343197,2813452343374
DistanceCalc,20,1042,2813472335697,2813472343840,2813472344131
DistanceCalc,20,1043,2813492335697,2813492343838,2813492343987
NavCommand,80,261,2813512293075,2813512303168,2813512304206
DistanceCalc,20,1044,2813512335697,2813512343477,2813512343693
NavControl,80,261,2813513195935,2813513206003,2813513206640
SurfaceRecon,100,209,2813532283239,2813532296673,2813532302491
DistanceCalc,20,1045,2813532335697,2813532343857,2813532344043
DataIMU,0,203,2813532344950,2813532344950,2813532429693
DistanceCalc,20,1046,2813552335697,2813552344251,2813552344560
DistanceCalc,20,1047,2813572335697,2813572343408,2813572343605
NavCommand,80,262,2813592293075,2813592304002,2813592305540
DistanceCalc,20,1048,2813592335697,2813592342929,2813592343167
NavControl,80,262,2813593195935,2813593206372,2813593207275
DistanceCalc,20,1049,2813612335697,2813612344110,2813612344263
SurfaceRecon,100,210,2813632283239,2813632295744,2813632302393
DistanceCalc,20,1050,2813632335697,2813632345846,2813632346112
DataIMU,0,204,2813632311443,2813632311443,2813632399587
DistanceCalc,20,1051,2813652335697,2813652344018,2813652344281
NavCommand,80,263,2813672293075,2813672303072,2813672304860
DistanceCalc,20,1052,2813672335697,2813672342440,2813672342660
NavControl,80,263,2813673195935,2813673206165,2813673206864
DistanceCalc,20,1053,2813692335697,2813692344919,2813692345149
DistanceCalc,20,1054,2813712335697,2813712344083,2813712344249
SurfaceRecon,100,211,2813732283239,2813732296261,2813732303088
DistanceCalc,20,1055,2813732335697,2813732343168,2813732343344
DataIMU,0,205,2813732312273,2813732312273,2813732400876
NavCommand,80,264,2813752293075,2813752303040,2813752304283
DistanceCalc,20,1056,2813752335697,2813752345398,2813752345645
NavControl,80,264,2813753195935,2813753207428,2813753208195
DistanceCalc,20,1057,2813772335697,2813772344553,2813772344890
DistanceCalc,20,1058,2813792335697,2813792344415,2813792344697
DistanceCalc,20,1059,2813812335697,2813812343655,2813812343797
NavCommand,80,265,2813832293075,2813832302520,2813832303527
SurfaceRecon,100,212,2813832283239,2813832296546,2813832304490
DistanceCalc,20,1060,2813832335697,2813832342666,2813832342893
DataIMU,0,206,2813832313450,2813832313450,2813832401487
NavControl,80,265,2813833195935,2813833205652,2813833206079
DistanceCalc,20,1061,2813852335697,2813852347860,2813852348084
DistanceCalc,20,1062,2813872335697,2813872344297,2813872344523
DistanceCalc,20,1063,2813892335697,2813892344639,2813892344900
NavCommand,80,266,2813912293075,2813912303818,2813912305387
DistanceCalc,20,1064,2813912335697,2813912343448,2813912343669
NavControl,80,266,2813913195935,2813913205560,2813913206330
